Landis and Gyr Load Profile Data
================================================================================
Generated: 2025-11-05 11:30:42.579222
Date Range: 2025-10-05 00:00:00 to 2025-11-05 00:00:00
Client Address: 32
Server Address: 1
Authentication: 1
Connection: Serial /dev/ttySC0
================================================================================

11200 (0.0.1.0.0.255) | 18592 (0.0.96.240.12.255) | 39656 (1.1.32.7.0.255) | 39800 (1.1.52.7.0.255) | 39944 (1.1.72.7.0.255) | 45560 (1.4.31.7.0.255) | 45704 (1.4.51.7.0.255) | 45848 (1.4.71.7.0.255) | 480 (1.1.13.5.0.255) | 2872 (1.1.1.8.1.255) | 15144 (1.1.9.4.0.255)
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
2025-10-23 17:51:00 | 2155872256 | 2390 | 2377 | 2389 | 146 | 216 | 176 | 1000 | 392893071 | 2
2025-10-23 17:52:00 | 2155872256 | 2393 | 2379 | 2391 | 145 | 211 | 174 | 1000 | 392893401 | 2
2025-10-23 17:53:00 | 2155872256 | 2398 | 2384 | 2395 | 145 | 208 | 173 | 1000 | 392893756 | 2
2025-10-23 17:54:00 | 2155872256 | 2396 | 2383 | 2394 | 146 | 210 | 173 | 666 | 392894094 | 3
2025-10-23 17:55:00 | 2155872256 | 2401 | 2388 | 2400 | 149 | 210 | 176 | 1000 | 392894431 | 2
2025-10-23 17:56:00 | 2155872256 | 2401 | 2387 | 2400 | 153 | 210 | 182 | 1000 | 392894777 | 2
2025-10-23 17:57:00 | 2155872256 | 2399 | 2385 | 2399 | 151 | 206 | 184 | 1000 | 392895139 | 2
2025-10-23 17:58:00 | 2155872256 | 2400 | 2385 | 2398 | 156 | 211 | 186 | 1000 | 392895470 | 2
2025-10-23 17:59:00 | 2155872256 | 2396 | 2380 | 2393 | 158 | 213 | 187 | 1000 | 392895800 | 2
2025-10-23 18:00:00 | 2155872256 | 2405 | 2388 | 2402 | 160 | 212 | 185 | 666 | 392896134 | 3
2025-10-23 18:01:00 | 2155872256 | 2407 | 2391 | 2406 | 162 | 208 | 185 | 1000 | 392896362 | 1
2025-10-23 18:02:00 | 2155872256 | 2408 | 2395 | 2408 | 163 | 207 | 185 | 0 | 392896481 | 1
2025-10-23 18:03:00 | 2155872256 | 2410 | 2396 | 2409 | 162 | 209 | 184 | 1000 | 392896599 | 1
2025-10-23 18:04:00 | 2155872256 | 2406 | 2391 | 2406 | 160 | 209 | 186 | 1000 | 392896763 | 1
2025-10-23 18:05:00 | 2155872256 | 2407 | 2392 | 2407 | 161 | 208 | 185 | 1000 | 392896915 | 1
